Group,Link,
Joel Moore,https://physics.berkeley.edu/people/faculty/joel-moore,
C. Morais Smith,https://webspace.science.uu.nl/~morai101/,
Shen Lab,https://arpes.stanford.edu/research/quantum-materials/topological-materials,They work on cuprates superconductors as well
